Frequency,Ticker_Pairs,Signs,Decile 1,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Decile 10
Month,GLD_GDX,Positive,-0.0010205714669230058,-0.05519239671923726,0.011323195456153326,-0.02585154113644724,0.06805393317492592,0.03773293388267707,,-0.06892732448424965,0.0668775836579707,-0.030406522631042876
Month,GLD_GDX,Negative,0.01278356711232781,,,,-0.08408699404137554,0.0007552765683089083,0.1341579626116669,-0.020328336123845082,-0.010400264849059223,
Month,GLD_SLV,Positive,,-0.007891677759640574,-0.009167173055204004,-0.025337824811606655,0.17445876111437286,,,,,-0.011259689474912571
Month,GLD_SLV,Negative,0.18086822759024845,-0.09556084879914595,,0.0273828791103905,-0.027115382907783998,-0.057480605811834194,0.061186586800520394,0.013863927010814372,0.03729552610186371,-0.0012998877534972826
Month,GDX_SLV,Positive,0.012980851294766643,,-0.06791723748942458,-0.0066633656244120916,-0.015006196094324298,-0.0899395589518952,,,,-0.003359060451460394
Month,GDX_SLV,Negative,0.1342097427918325,,,0.08324155649191928,0.0341472520727889,-0.0860444626089675,-0.005447583666224942,0.012765530383446277,-0.04739988549166805,0.02192957381410221
Quarter,GLD_GDX,Positive,0.096141530876453,0.10632235613339298,-0.014925201387395559,-0.011394841884469487,,0.0854251179243039,0.03141396820278547,0.09797876948817147,,-0.049077804121950064
Quarter,GLD_GDX,Negative,-0.1364459897486892,,,,,,,,0.08910012781322629,-0.1904959165417094
Quarter,GLD_SLV,Positive,0.006802191968019455,,-0.01880498192020086,-0.025591490428020558,-0.045784914742580285,0.228235186503969,,,,0.030261929010551025
Quarter,GLD_SLV,Negative,0.12396966409924992,,,0.0195136530311818,,0.10759803361628806,,0.04514753586621334,0.051030434142845506,0.046507346045685294
Quarter,GDX_SLV,Positive,-0.13679718641787034,0.09537704442715682,0.057212291696339124,,-0.032285610914150886,,,,,0.17096011865209215
Quarter,GDX_SLV,Negative,-0.011162571233243379,0.05362946330472551,,,0.047571072204049214,-0.044550822533255596,,-0.031147610473199083,,0.019150270512515888
Year,GLD_GDX,Positive,0.14682752503783914,,-0.44445411855711536,0.26121554563121097,,,,,,0.1361306243970915
Year,GLD_GDX,Negative,,,,,,,,,,
Year,GLD_SLV,Positive,-0.06523759928396644,,,0.17320891987186726,,,,,0.017461059091683717,-0.024209261803796123
Year,GLD_SLV,Negative,,,,,,,,,,0.07965703843588223
Year,GDX_SLV,Positive,-0.12936646594615542,,,,,,,,,
Year,GDX_SLV,Negative,-0.05831118731687418,,,,0.3792165192731489,,,,,-0.18819772328769224
