Date,GLD,GDX,SLV
2006-12-29,63.21,39.91,12.86
2007-01-03,62.28,38.43,12.56
2007-01-04,61.65,37.72,12.58
2007-01-05,60.17,37.21,12.18
2007-01-08,60.48,37.3,12.22
2007-01-09,60.85,37.05,12.42
2007-01-10,60.59,36.61,12.37
2007-01-11,60.63,36.93,12.29
2007-01-12,62.17,37.9,12.78
2007-01-16,61.97,37.52,12.54
2007-01-17,62.64,37.7,12.74
2007-01-18,62.26,36.97,12.6
2007-01-19,63.0,37.53,12.8
2007-01-22,62.72,37.27,12.87
2007-01-23,64.23,39.1,13.25
2007-01-24,64.33,39.56,13.2
2007-01-25,64.06,39.11,13.25
2007-01-26,64.1,39.2,13.36
2007-01-29,63.77,38.55,13.13
2007-01-30,64.22,38.97,13.33
2007-01-31,64.83,39.6,13.52
2007-02-01,65.22,39.85,13.6
2007-02-02,64.28,39.32,13.39
2007-02-05,64.31,39.48,13.44
2007-02-06,64.79,39.73,13.61
2007-02-07,64.63,39.31,13.59
2007-02-08,65.52,40.26,13.75
2007-02-09,66.12,40.11,13.81
2007-02-12,65.67,39.61,13.6
2007-02-13,65.84,40.23,13.8
2007-02-14,66.37,40.89,14.02
2007-02-15,66.41,41.2,13.95
2007-02-16,66.36,40.94,13.9
2007-02-20,65.31,40.08,13.79
2007-02-21,67.28,41.57,14.18
2007-02-22,67.15,41.8,14.18
2007-02-23,67.72,41.83,14.53
2007-02-26,68.1,42.35,14.7
2007-02-27,65.41,39.35,14.04
2007-02-28,66.48,39.9,14.12
2007-03-01,65.82,39.15,13.54
2007-03-02,63.71,37.68,12.88
2007-03-05,62.93,36.92,12.55
2007-03-06,64.15,38.08,12.9
2007-03-07,64.3,38.09,12.9
2007-03-08,64.48,38.35,12.92
2007-03-09,64.25,38.03,12.86
2007-03-12,64.37,38.65,12.95
2007-03-13,63.72,37.15,12.69
2007-03-14,63.94,37.36,12.8
2007-03-15,63.98,38.24,12.93
2007-03-16,64.62,38.36,13.09
2007-03-19,64.74,38.85,13.1
2007-03-20,65.27,39.22,13.26
2007-03-21,65.82,40.11,13.32
2007-03-22,65.76,39.97,13.39
2007-03-23,65.15,39.83,13.12
2007-03-26,65.84,40.14,13.33
2007-03-27,65.7,39.45,13.19
2007-03-28,66.05,39.64,13.33
2007-03-29,65.65,39.45,13.25
2007-03-30,65.74,39.57,13.35
2007-04-02,65.85,40.15,13.24
2007-04-03,65.83,40.48,13.34
2007-04-04,66.81,41.19,13.58
2007-04-05,66.86,41.17,13.66
2007-04-09,66.53,41.05,13.7
2007-04-10,67.16,41.38,13.85
2007-04-11,67.08,41.1,13.77
2007-04-12,66.99,41.28,13.81
2007-04-13,67.84,42.35,13.99
2007-04-16,68.4,42.88,13.98
2007-04-17,68.0,42.29,13.84
2007-04-18,68.38,42.09,13.88
2007-04-19,67.53,41.07,13.56
2007-04-20,68.7,41.47,13.87
2007-04-23,68.26,41.09,13.93
2007-04-24,67.73,40.55,13.71
2007-04-25,67.89,41.01,13.75
2007-04-26,66.87,40.06,13.26
2007-04-27,67.56,40.34,13.49
2007-04-30,67.09,39.56,13.34
2007-05-01,66.69,39.3,13.19
2007-05-02,66.66,40.36,13.17
2007-05-03,67.49,40.71,13.32
2007-05-04,68.19,40.71,13.38
2007-05-07,68.25,40.98,13.46
2007-05-08,67.88,40.75,13.4
2007-05-09,67.45,40.6,13.32
2007-05-10,66.0,39.48,12.95
2007-05-11,66.45,39.92,13.15
2007-05-14,66.28,39.16,13.05
2007-05-15,66.54,39.07,13.12
2007-05-16,65.6,38.44,12.86
2007-05-17,65.06,38.26,12.77
2007-05-18,65.52,39.01,12.9
2007-05-21,65.67,39.47,13.0
2007-05-22,65.22,38.86,12.89
