,Date,GLD,GDX,SLV
0,2006-12-29,63.21,39.91,12.86
20,2007-01-31,64.83,39.6,13.52
39,2007-02-28,66.48,39.9,14.12
61,2007-03-30,65.74,39.57,13.35
81,2007-04-30,67.09,39.56,13.34
103,2007-05-31,65.54,39.16,13.38
124,2007-06-29,64.27,37.89,12.35
145,2007-07-31,65.79,39.94,12.8
168,2007-08-31,66.52,37.65,12.0
187,2007-09-28,73.51,45.35,13.66
210,2007-10-31,78.62,50.6,14.36
231,2007-11-30,77.32,46.36,13.9
251,2007-12-31,82.46,45.83,14.7
272,2008-01-31,91.4,50.35,16.82
292,2008-02-29,96.18,53.12,19.67
312,2008-03-31,90.41,47.7,17.08
334,2008-04-30,86.65,43.56,16.72
355,2008-05-30,87.45,46.04,16.67
376,2008-06-30,91.4,48.52,17.26
398,2008-07-31,90.08,43.48,17.53
419,2008-08-29,81.71,37.55,13.37
440,2008-09-30,85.07,33.79,11.85
463,2008-10-31,71.34,20.95,9.58
482,2008-11-28,80.31,26.57,10.23
504,2008-12-31,86.52,33.88,11.2
524,2009-01-30,91.31,34.23,12.52
543,2009-02-27,92.63,33.36,12.88
565,2009-03-31,90.28,36.88,12.79
586,2009-04-30,87.27,32.91,12.21
606,2009-05-29,96.2,44.16,15.47
628,2009-06-30,91.18,37.82,13.38
650,2009-07-31,93.35,39.76,13.7
670,2009-08-31,93.4,39.51,14.62
691,2009-09-30,98.85,45.29,16.38
713,2009-10-30,102.53,42.37,16.07
733,2009-11-30,115.64,51.11,18.15
755,2009-12-31,107.31,46.21,16.54
774,2010-01-29,105.96,40.72,15.9
793,2010-02-26,109.43,43.89,16.07
816,2010-03-31,108.95,44.41,17.14
837,2010-04-30,115.36,50.51,18.26
857,2010-05-28,118.88,49.86,18.03
879,2010-06-30,121.68,51.96,18.21
900,2010-07-30,115.49,48.22,17.58
922,2010-08-31,122.08,53.61,18.93
943,2010-09-30,127.91,55.93,21.31
964,2010-10-29,132.62,57.3,24.17
985,2010-11-30,135.42,59.5,27.44
1007,2010-12-31,138.72,61.47,30.18
1027,2011-01-31,129.87,53.92,27.39
1046,2011-02-28,137.72,59.83,33.12
1069,2011-03-31,139.82,60.06,36.79
1089,2011-04-29,152.36,62.16,46.9
1110,2011-05-31,149.64,58.15,37.58
1132,2011-06-30,145.98,54.59,33.85
1152,2011-07-29,158.41,56.94,38.83
1175,2011-08-31,177.65,62.81,40.44
1196,2011-09-30,158.08,55.19,28.93
1217,2011-10-31,167.34,58.83,33.44
1238,2011-11-30,170.13,60.49,32.0
1259,2011-12-30,151.99,51.43,26.94
1279,2012-01-31,169.31,56.46,32.28
1299,2012-02-29,164.29,55.35,33.55
1321,2012-03-30,162.14,49.57,31.37
1341,2012-04-30,161.88,46.39,30.11
1363,2012-05-31,151.62,43.78,26.96
1384,2012-06-29,155.19,44.77,26.65
1405,2012-07-31,156.54,42.78,27.12
1428,2012-08-31,164.22,47.94,30.79
1447,2012-09-28,172.02,53.71,33.48
1468,2012-10-31,166.86,52.85,31.27
1489,2012-11-30,166.05,47.55,32.36
1509,2012-12-31,162.02,46.39,29.37
1530,2013-01-31,161.2,41.62,30.44
1549,2013-02-28,153.0,37.4,27.54
1569,2013-03-28,154.47,37.85,27.43
1591,2013-04-30,142.77,30.36,23.46
1613,2013-05-31,133.92,29.5,21.44
1633,2013-06-28,119.11,24.49,18.97
1655,2013-07-31,127.96,26.99,19.14
1677,2013-08-30,134.62,28.13,22.6
1697,2013-09-30,128.18,25.02,20.9
1720,2013-10-31,127.74,25.1,21.1
1740,2013-11-29,120.7,22.28,19.24
1761,2013-12-31,116.12,21.13,18.71
1782,2014-01-31,120.09,23.48,18.45
1801,2014-02-28,127.62,25.88,20.35
1822,2014-03-31,123.61,23.6,19.04
1843,2014-04-30,124.22,24.11,18.46
1864,2014-05-30,120.43,22.5,18.08
1885,2014-06-30,128.04,26.45,20.25
1907,2014-07-31,123.39,25.91,19.58
1928,2014-08-29,123.86,26.69,18.71
1949,2014-09-30,116.21,21.36,16.35
1972,2014-10-31,112.66,17.21,15.5
1991,2014-11-28,112.11,18.36,14.83
2013,2014-12-31,113.58,18.38,15.06
2033,2015-01-30,123.45,22.29,16.54
2052,2015-02-27,116.16,21.28,15.87
2074,2015-03-31,113.66,18.24,15.93
2095,2015-04-30,113.47,20.11,15.43
2115,2015-05-29,114.1,19.58,15.99
2137,2015-06-30,112.37,17.76,15.03
2159,2015-07-31,104.93,13.75,14.08
2180,2015-08-31,108.82,14.11,13.99
2201,2015-09-30,106.86,13.74,13.87
2223,2015-10-30,109.3,14.96,14.8
2243,2015-11-30,101.92,13.76,13.44
2265,2015-12-31,101.46,13.72,13.19
2284,2016-01-29,106.95,14.21,13.59
2304,2016-02-29,118.64,19.38,14.2
2326,2016-03-31,117.64,19.97,14.68
2347,2016-04-29,123.65,25.83,16.98
2368,2016-05-31,116.06,22.58,15.19
2390,2016-06-30,126.47,27.71,17.86
2410,2016-07-29,128.98,30.59,19.35
2433,2016-08-31,124.78,25.49,17.72
2454,2016-09-30,125.64,26.43,18.2
2475,2016-10-31,121.94,24.52,16.97
2496,2016-11-30,111.75,20.83,15.66
2517,2016-12-30,109.61,20.92,15.11
